,Host,Parasite,ParasiteFull,group,hostgroup
40682,Podocnemis vogli,Paratractis hystrix,"Paratractis hystrix (Diesing, 1851)",Nematodes,Reptilia
40683,Colaptes campestris,Paronchocerca ibanezi,"Paronchocerca ibanezi (Freitas, Vicente & Pinto, 1970)",Nematodes,Aves
40684,Amazona aestiva,Pelecitus circularis,"Pelecitus circularis (Molin, 1860)",Nematodes,Aves
40685,Amazona agilis,Pelecitus circularis,"Pelecitus circularis (Molin, 1860)",Nematodes,Aves
40686,Anodorhynchus hyacinthinus,Pelecitus circularis,"Pelecitus circularis (Molin, 1860)",Nematodes,Aves
40687,Ara ararauna,Pelecitus circularis,"Pelecitus circularis (Molin, 1860)",Nematodes,Aves
40688,Primolius auricollis,Pelecitus circularis,"Pelecitus circularis (Molin, 1860)",Nematodes,NA
40689,Ara macao,Pelecitus circularis,"Pelecitus circularis (Molin, 1860)",Nematodes,Aves
40690,Phloeoceastes melanoleucos,Pelecitus circularis,"Pelecitus circularis (Molin, 1860)",Nematodes,NA
40691,Pionus chalcopterus,Pelecitus circularis,"Pelecitus circularis (Molin, 1860)",Nematodes,Aves
40692,Amazona aestiva,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,Aves
40693,Anodorhynchus hyacinthinus,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,Aves
40694,Ara ararauna,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,Aves
40695,Primolius auricollis,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,NA
40696,Leuckartiara nobilis,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,NA
40697,Basileuterus culicivorus,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,NA
40698,Campephilus melanoleucos,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,Aves
40699,Campylorhamphus procurvoides,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,Aves
40700,Chiroxiphis caudata,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,NA
40701,Cissopis leverianus,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,NA
40702,Claravis pretiosa,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,Aves
40703,Conopophaga lineata,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,Aves
40704,Cyanocorax cyanomellas,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,NA
40705,Drymophila ferruginea,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,Aves
40706,Drymophila ochropygea,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,NA
40707,Habia rubica,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,Aves
40708,Myiarchus swainsoni,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,Aves
40709,Pionus maximiliani,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,Aves
40710,Pteroglossus aracari,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,Aves
40711,Pyriglena leucoptera,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,Aves
40712,Ramphastos tucanus,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,Aves
40713,Tachyphonus rufus,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,Aves
40714,Thamnophilus caerulescens,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,Aves
40715,Trichothraupis melanops,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,Aves
40716,Veniliornis passerinus,Pelecitus helecinus,"Pelecitus helecinus (Molin, 1860)",Nematodes,Aves
40717,Cnemidophorus lemniscatus,Pharyngodon cesarpintoi,"Pharyngodon cesarpintoi Pereira, 1975",Nematodes,Reptilia
40718,Liolaemus lutzae,Pharyngodon cesarpintoi,"Pharyngodon cesarpintoi Pereira, 1975",Nematodes,Reptilia
40719,Luciopimelodus pati,Philometra alii,"Philometra alii Rasheed, 1963",Nematodes,Teleostei
40720,Pinirampus pirinampu,Philometra alii,"Philometra alii Rasheed, 1963",Nematodes,Teleostei
40721,Callophysus macropterus,Philometra amazonica,"Philometra amazonica Travassos, 1960",Nematodes,NA
40722,Pimelodus clarias,Philometra baylisi,"Philometra baylisi Vaz & Pereira, 1934",Nematodes,NA
40723,Genidens genidens,Philometra fariaslimai,"Philometra fariaslimai Fortes, 1981",Nematodes,Teleostei
40724,Guiritinga barbus,Philometra fariaslimai,"Philometra fariaslimai Fortes, 1981",Nematodes,NA
40725,Tachysurus agassizi,Philometra fariaslimai,"Philometra fariaslimai Fortes, 1981",Nematodes,NA
40726,Tachysurus barbus,Philometra fariaslimai,"Philometra fariaslimai Fortes, 1981",Nematodes,NA
40727,Tachysurus upsulunophorus,Philometra fariaslimai,"Philometra fariaslimai Fortes, 1981",Nematodes,NA
40728,Salminus hilarii,Philometra maplestonei,"Philometra maplestonei Artigas & Pereira, 1929",Nematodes,Teleostei
40729,Salminus maxillosus,Philometra paraguayensis,"Philometra paraguayensis Petter, 1995",Nematodes,NA
40730,Arapaima gigas,Philometra senticosa,"Philometra senticosa Baylis, 1927",Nematodes,Teleostei
40731,Salminus hilarii,Philometroides maplestoni,"Philometroides maplestoni (Travassos, Artigas & Pereira, 1928)",Nematodes,Teleostei
40732,Percichthys trucha,Philonema percichthydis,"Philonema percichthydis Moravec, Urawa & Coria, 1997",Nematodes,Teleostei
40733,Panthera onca,Physaloptera anomala,"Physaloptera anomala Molin, 1860",Nematodes,Mammalia
40734,Calomys laucha,Physaloptera calnuensis,"Physaloptera calnuensis Sutton, l989",Nematodes,Mammalia
40735,Puma concolor,Physaloptera digitata,"Physaloptera digitata Schneider, 1866",Nematodes,Mammalia
40736,Leopardus wiedii,Physaloptera digitata,"Physaloptera digitata Schneider, 1866",Nematodes,Mammalia
40737,Lagothrix lagothricha,Physaloptera dilatata,"Physaloptera dilatata (Rudolphi, 1819)",Nematodes,NA
40738,Parabuteo unicinctus,Physaloptera inflata,"Physaloptera inflata (Molin, 1860)",Nematodes,Aves
40739,Leptodon forbesi,Physaloptera losseni,"Physaloptera losseni Ortlepp, 1937",Nematodes,Aves
40740,Ameiva ameiva,Physaloptera lutzi,"Physaloptera lutzi Cristoforo, Guimaraes & Rodrigues, 1976",Nematodes,Reptilia
40741,Cnemidophorus ocellifer,Physaloptera lutzi,"Physaloptera lutzi Cristoforo, Guimaraes & Rodrigues, 1976",Nematodes,NA
40742,Tropidurus itambere,Physaloptera lutzi,"Physaloptera lutzi Cristoforo, Guimaraes & Rodrigues, 1976",Nematodes,Reptilia
40743,Tropidurus torquatus,Physaloptera lutzi,"Physaloptera lutzi Cristoforo, Guimaraes & Rodrigues, 1976",Nematodes,Reptilia
40744,Myrmecophaga tetradactyla,Physaloptera magnipapila,"Physaloptera magnipapila Molin, 1860",Nematodes,NA
40745,Metachirus nudicaudatus,Physaloptera mirandai,"Physaloptera mirandai Lent & Freitas, 1937",Nematodes,Mammalia
40746,Choloepus didactylus,Physaloptera papillotruncata,"Physaloptera papillotruncata Molin, 1860",Nematodes,Mammalia
40747,Myrmecophaga tetradactyla,Physaloptera papillotruncata,"Physaloptera papillotruncata Molin, 1860",Nematodes,NA
40748,Nasua nasua,Physaloptera semilanceolata,"Physaloptera semilanceolata Molin, 1860",Nematodes,Mammalia
40749,Accipiter bicolor,Physaloptera subalata,"Physaloptera subalata Schneider, 1866",Nematodes,Aves
40750,Puma concolor,Physaloptera terdentata,"Physaloptera terdentata Molin, 1860",Nematodes,Mammalia
40751,Zygodontomys lasiurus,Physaloptera zigodontomis,"Physaloptera zigodontomis (Quentin, 1967)",Nematodes,NA
40752,Anolis coelestinus,Physalopteroides bahamensis,"Physalopteroides bahamensis Bursey & Golberg, 1994",Nematodes,Reptilia
40753,Anolis distichus,Physalopteroides bahamensis,"Physalopteroides bahamensis Bursey & Golberg, 1994",Nematodes,Reptilia
40754,Osteopilus septentrionalis,Physalopteroides bahamensis,"Physalopteroides bahamensis Bursey & Golberg, 1994",Nematodes,Amphibia
40755,Osteopilus septentrionalis,Physalopteroides valdesi,Physalopteroides valdesi,Nematodes,Amphibia
40756,Leptodactylus hylaedactylus,Physalopteroides venancioi,"Physalopteroides venancioi (Lent, Freitas & Proenca, 1946)",Nematodes,NA
40757,Rhinella schneideri,Physalopteroides venancioi,"Physalopteroides venancioi (Lent, Freitas & Proenca, 1946)",Nematodes,NA
40758,Edalorhina perezi,Physalopteroides venancioi,"Physalopteroides venancioi (Lent, Freitas & Proenca, 1946)",Nematodes,Amphibia
40759,Pristimantis fenestratus,Physalopteroides venancioi,"Physalopteroides venancioi (Lent, Freitas & Proenca, 1946)",Nematodes,NA
40760,Leptodactylus bolivianus,Physalopteroides venancioi,"Physalopteroides venancioi (Lent, Freitas & Proenca, 1946)",Nematodes,Amphibia
40761,Leptodactylus mystaceus,Physalopteroides venancioi,"Physalopteroides venancioi (Lent, Freitas & Proenca, 1946)",Nematodes,Amphibia
40762,Mabuya agilis,Physalopteroides venancioi,"Physalopteroides venancioi (Lent, Freitas & Proenca, 1946)",Nematodes,NA
40763,Mabuya macrorhyncha,Physalopteroides venancioi,"Physalopteroides venancioi (Lent, Freitas & Proenca, 1946)",Nematodes,NA
40764,Osteocephalus taurinus,Physalopteroides venancioi,"Physalopteroides venancioi (Lent, Freitas & Proenca, 1946)",Nematodes,Amphibia
40765,Trachycephalus coriaceus,Physalopteroides venancioi,"Physalopteroides venancioi (Lent, Freitas & Proenca, 1946)",Nematodes,NA
40766,Phyllomedusa vaillantii,Physalopteroides venancioi,"Physalopteroides venancioi (Lent, Freitas & Proenca, 1946)",Nematodes,NA
40767,Scinax ruba,Physalopteroides venancioi,"Physalopteroides venancioi (Lent, Freitas & Proenca, 1946)",Nematodes,NA
40768,Tropidurus torquatus,Physalopteroides venancioi,"Physalopteroides venancioi (Lent, Freitas & Proenca, 1946)",Nematodes,Reptilia
40769,Bradypus tridactylus,Physocephalus gracilis,"Physocephalus gracilis (Rudolphi, 1819)",Nematodes,Mammalia
40770,Mazama gouazoubira,Physocephalus lassancei,"Physocephalus lassancei Travassos, 1921",Nematodes,Mammalia
40771,Cuniculus paca,Physocephalus meridionalis,"Physocephalus meridionalis (Molin, 1860)",Nematodes,Mammalia
40772,Dasyprocta azarae,Physocephalus meridionalis,"Physocephalus meridionalis (Molin, 1860)",Nematodes,Mammalia
40773,Tapirus terrestris,Physocephalus meridionalis,"Physocephalus meridionalis (Molin, 1860)",Nematodes,Mammalia
40774,Tapirus terrestris,Physocephalus nitidulans,"Physocephalus nitidulans (Schneider, 1866)",Nematodes,Mammalia
40775,Schizodon borellii,Piavussunema schubarti,"Piavussunema schubarti Kohn, Gomes & Motta, 1968",Nematodes,NA
40776,Anolis biporcatus,Piratuba digiticauda,"Piratuba digiticauda Lent & Freitas, 1941",Nematodes,Reptilia
40777,Norops limifrons,Piratuba digiticauda,"Piratuba digiticauda Lent & Freitas, 1941",Nematodes,NA
40778,Podocnemis expansa,Podocnematractis colombiaensis,"Podocnematractis colombiaensis Gibbons, Khalil & Marinkelle, 1995",Nematodes,Reptilia
40779,Podocnemis vogli,Podocnematractis colombiaensis,"Podocnematractis colombiaensis Gibbons, Khalil & Marinkelle, 1995",Nematodes,Reptilia
40780,Podocnemis expansa,Podocnematractis ortleppi,"Podocnematractis ortleppi (Thapar, 1925)",Nematodes,Reptilia
40781,Podocnemis vogli,Podocnematractis ortleppi,"Podocnematractis ortleppi (Thapar, 1925)",Nematodes,Reptilia
40782,Arapaima gigas,Porrocaecum draschei,"Porrocaecum draschei (Stossich, 1896)",Nematodes,Teleostei
40783,Plegadis chihi,Porrocaecum heteropterum,"Porrocaecum heteropterum (Diesing, 1851)",Nematodes,Aves
40784,Theristicus melanopis,Porrocaecum heteropterum,"Porrocaecum heteropterum (Diesing, 1851)",Nematodes,Aves
40785,Arius agassizi,Porrocaecum jardimfreirei,"Porrocaecum jardimfreirei Fortes, 1981",Nematodes,NA
40786,Arius barbus,Porrocaecum jardimfreirei,"Porrocaecum jardimfreirei Fortes, 1981",Nematodes,NA
40787,Arius upsulonoporus,Porrocaecum jardimfreirei,"Porrocaecum jardimfreirei Fortes, 1981",Nematodes,NA
40788,Genidens genidens,Porrocaecum jardimfreirei,"Porrocaecum jardimfreirei Fortes, 1981",Nematodes,Teleostei
40789,Guiritinga barbus,Porrocaecum jardimfreirei,"Porrocaecum jardimfreirei Fortes, 1981",Nematodes,NA
40790,Tachysurus agassizi,Porrocaecum jardimfreirei,"Porrocaecum jardimfreirei Fortes, 1981",Nematodes,NA
40791,Tachysurus barbus,Porrocaecum jardimfreirei,"Porrocaecum jardimfreirei Fortes, 1981",Nematodes,NA
40792,Tachysurus upsulunophorus,Porrocaecum jardimfreirei,"Porrocaecum jardimfreirei Fortes, 1981",Nematodes,NA
40793,Epsilonematina ateles,Primasubulura distans,"Primasubulura distans (Rudolphi, 1819)",Nematodes,NA
40794,Plecturocebus cupreus,Primasubulura distans,"Primasubulura distans (Rudolphi, 1819)",Nematodes,NA
40795,Mico argentatus,Primasubulura distans,"Primasubulura distans (Rudolphi, 1819)",Nematodes,NA
40796,Callithrix clerysoleuca,Primasubulura distans,"Primasubulura distans (Rudolphi, 1819)",Nematodes,NA
40797,Callithrix jacchus,Primasubulura distans,"Primasubulura distans (Rudolphi, 1819)",Nematodes,Mammalia
40798,Leontocebus bicolor,Primasubulura distans,"Primasubulura distans (Rudolphi, 1819)",Nematodes,NA
40799,Saguinus mystax,Primasubulura distans,"Primasubulura distans (Rudolphi, 1819)",Nematodes,Mammalia
40800,Callithrix penicillata,Primasubulura jacchi,"Primasubulura jacchi (Marcel, 1857)",Nematodes,Mammalia
40801,Tapirus tapirus,Probstmayria tapiri,"Probstmayria tapiri Van Waerebeke, Chabaud & Anthony, 1988",Nematodes,NA
40802,Cochliodon cochliodon,Procamallanus annipetterae,"Procamallanus annipetterae Kohn & Fernandes, 1988",Nematodes,NA
40803,Plecostomus albopunctata,Procamallanus annipetterae,"Procamallanus annipetterae Kohn & Fernandes, 1988",Nematodes,NA
40804,Cichlasoma facetum,Procamallanus peraccuratus,"Procamallanus peraccuratus Pinto et al., 1976",Nematodes,Teleostei
40805,Teleostei,Procamallanus peraccuratus,"Procamallanus peraccuratus Pinto et al., 1976",Nematodes,NA
40806,Heros severus,Procamallanus peraccuratus,"Procamallanus peraccuratus Pinto et al., 1976",Nematodes,NA
40807,Crenicichla geayi,Procamallanus peraccuratus,"Procamallanus peraccuratus Pinto et al., 1976",Nematodes,Teleostei
40808,Crenicichla lepidota,Procamallanus peraccuratus,"Procamallanus peraccuratus Pinto et al., 1976",Nematodes,Teleostei
40809,Geophagus brasiliensis,Procamallanus peraccuratus,"Procamallanus peraccuratus Pinto et al., 1976",Nematodes,Teleostei
40810,Pimelodus ortmanni,Procamallanus peraccuratus,"Procamallanus peraccuratus Pinto et al., 1976",Nematodes,Teleostei
40811,Cichlasoma facetum,Procamallanus peraccuratus,"Procamallanus (Procamallanus) peraccuratus Pinto et al., 1976",Nematodes,Teleostei
40812,Crenicichla lepidota,Procamallanus peraccuratus,"Procamallanus (Procamallanus) peraccuratus Pinto et al., 1976",Nematodes,Teleostei
40813,Geophagus brasiliensis,Procamallanus peraccuratus,"Procamallanus (Procamallanus) peraccuratus Pinto et al., 1976",Nematodes,Teleostei
40814,Hoplias malabaricus,Procamallanus peraccuratus,"Procamallanus (Procamallanus) peraccuratus Pinto et al., 1976",Nematodes,Teleostei
40815,Pimelodus ortmanni,Procamallanus peraccuratus,"Procamallanus (Procamallanus) peraccuratus Pinto et al., 1976",Nematodes,Teleostei
40816,Potamotrygon motoro,Procamallanus peraccuratus,"Procamallanus (Procamallanus) peraccuratus Pinto et al., 1976",Nematodes,Chondrichthyes
40817,Chelidoptera tenebrosa,Procyrnea anterovulvata,"Procyrnea anterovulvata Magalhaes Pinto, Vicente & Noronha, 1996",Nematodes,Aves
40818,Celeus flavescens,Procyrnea colaptes,"Procyrnea colaptes (Walton, 1923)",Nematodes,Aves
40819,Celeus jumana,Procyrnea colaptes,"Procyrnea colaptes (Walton, 1923)",Nematodes,NA
40820,Hydrochoerus capybara,Protozoophaga obesa,"Protozoophaga obesa (Diesing, 1851)",Nematodes,NA
40821,Hydrochoerus hydrochaeris,Protozoophaga obesa,"Protozoophaga obesa (Diesing, 1851)",Nematodes,Mammalia
40822,Drymaplaneta variegata,Protrellus dixoni,"Protrellus dixoni Zervos, 1987",Nematodes,NA
40823,Eurycotis lacernata,Protrellus dixoni,"Protrellus dixoni Zervos, 1987",Nematodes,NA
40824,Aglaopteryx diaphana,Protrellus manni,"Protrellus manni (Chitwood, 1932)",Nematodes,NA
40825,Galictis vittata,Pseudocapillaria linsi,"Pseudocapillaria linsi (Freitas & Lent, 1935)",Nematodes,Mammalia
40826,Procyon cancrivorus,Pseudocapillaria pearsoni,"Pseudocapillaria pearsoni Freitas & Mendonca, 1960",Nematodes,Mammalia
40827,Capromys pilorides,Pseudoheligmosomum howelli,"Pseudoheligmosomum howelli (Vigueras, 1934)",Nematodes,Mammalia
40828,Capromys prehensilis,Pseudoheligmosomum howelli,"Pseudoheligmosomum howelli (Vigueras, 1934)",Nematodes,NA
40829,Hydrous ater,Pseudonymus toddi,"Pseudonymus toddi (Travassos, 1954)",Nematodes,NA
40830,Hydrous ater,Pseudonymus vazi,"Pseudonymus vazi Travassos, 1954",Nematodes,NA
40831,Molossus rufus,Pterothominx angrensis,"Pterothominx angrensis (Freitas, 1934)",Nematodes,Mammalia
40832,Myotis nigricans,Pterothominx brevidelphis,"Pterothominx brevidelphis Freitas & Mendonca, 1960",Nematodes,Mammalia
40833,Nyctinomus brasiliensis,Pterothominx pulchra,"Pterothominx pulchra (Freitas, 1934)",Nematodes,NA
40834,Hyla nasica,Pteroxyascaris caudacutus,"Pteroxyascaris caudacutus Freitas, 1958",Nematodes,NA
40835,Leptodactylus mystaceus,Pteroxyascaris caudacutus,"Pteroxyascaris caudacutus Freitas, 1958",Nematodes,Amphibia
40836,Leptodactylus sibilatrix,Pteroxyascaris caudacutus,"Pteroxyascaris caudacutus Freitas, 1958",Nematodes,NA
40837,Ololygon fuscovaria,Pteroxyascaris caudacutus,"Pteroxyascaris caudacutus Freitas, 1958",Nematodes,NA
40838,Rhinella crucifer,Pteroxyascaris similis,"Pteroxyascaris similis (Travassos, 1920)",Nematodes,NA
40839,Rhinella marina,Pteroxyascaris similis,"Pteroxyascaris similis (Travassos, 1920)",Nematodes,NA
40840,Hypsiboas faber,Pteroxyascaris similis,"Pteroxyascaris similis (Travassos, 1920)",Nematodes,NA
40841,Leptodactylus macrosternum,Pteroxyascaris similis,"Pteroxyascaris similis (Travassos, 1920)",Nematodes,Amphibia
40842,Leptodactylus ocellatus,Pteroxyascaris similis,"Pteroxyascaris similis (Travassos, 1920)",Nematodes,Amphibia
40843,Leptodactylus pentadactylus,Pteroxyascaris similis,"Pteroxyascaris similis (Travassos, 1920)",Nematodes,Amphibia
40844,Eumops perotis,Pterygodermatites elegans,"Pterygodermatites elegans (Travassos, 1928)",Nematodes,Mammalia
40845,Marmosa cinerea,Pterygodermatites elegans,"Pterygodermatites elegans (Travassos, 1928)",Nematodes,NA
40846,Caluromys philander,Pterygodermatites jagerskioldi,"Pterygodermatites jagerskioldi (Lent & Freitas, 1935)",Nematodes,Mammalia
40847,Gracilinanus microtarsus,Pterygodermatites jagerskioldi,"Pterygodermatites jagerskioldi (Lent & Freitas, 1935)",Nematodes,Mammalia
40848,Myocastor coypus,Pudica alpha,"Pudica alpha (Travassos, 1918)",Nematodes,Mammalia
40849,Cercomys cunicularius,Pudica cercomysi,"Pudica cercomysi (Durette-Desset & Tcheprakoff, 1969)",Nematodes,NA
40850,Cercomys laurentius,Pudica cercomysi,"Pudica cercomysi (Durette-Desset & Tcheprakoff, 1969)",Nematodes,NA
40851,Trichomys apereoides,Pudica cercomysi,"Pudica cercomysi (Durette-Desset & Tcheprakoff, 1969)",Nematodes,NA
40852,Proechimys guyannensis,Pudica evandroi,"Pudica evandroi (Travassos, 1937)",Nematodes,Mammalia
40853,Proechimys roberti,Pudica evandroi,"Pudica evandroi (Travassos, 1937)",Nematodes,NA
40854,Proechimys longicaudatus,Pudica ginsburgi,"Pudica ginsburgi Durette-Desset, Deharo, Santivanez-Galarza & Chabaud, 2001",Nematodes,Mammalia
40855,Dasyprocta azarae,Pudica gonosomae,"Pudica gonosomae  Cassone & Durette-Desset, 1991",Nematodes,Mammalia
40856,Kannabateomys amblynonyx,Pudica nematodiriformis,"Pudica nematodiriformis (Travassos, 1918)",Nematodes,NA
40857,Proechimys cayenensis,Pudica nematodiriformis,"Pudica nematodiriformis (Travassos, 1918)",Nematodes,NA
40858,Dasyprocta agouti,Pudica pudica,"Pudica pudica (Travassos, 1921)",Nematodes,NA
40859,Dasyprocta azarae,Pudica pudica,"Pudica pudica (Travassos, 1921)",Nematodes,Mammalia
40860,Dasyprocta fuliginosa,Pudica pudica,"Pudica pudica (Travassos, 1921)",Nematodes,Mammalia
40861,Microcavia niata,Pudica pujoli,"Pudica pujoli Durette-Desset, 1990",Nematodes,Mammalia
40862,Gryllotalpa hexadactyla,Pulchrocephala pulchrocephala,"Pulchrocephala pulchrocephala Travassos, 1925",Nematodes,NA
40863,Scapteriscus vicinus,Pulchrocephala pulchrocephala,"Pulchrocephala pulchrocephala Travassos, 1925",Nematodes,Insecta
40864,Gryllotalpa hexadactyla,Pulchrocephala simulatilis,"Pulchrocephala simulatilis Kloss, 1959",Nematodes,NA
40865,Blastocerus dichotomus,Pygarginema verrucosa,"Pygarginema verrucosa (Molin, 1860)",Nematodes,Mammalia
40866,Cervidellus cervus,Pygarginema verrucosa,"Pygarginema verrucosa (Molin, 1860)",Nematodes,NA
40867,Ozotocerus bezoarctus,Pygarginema verrucosa,"Pygarginema verrucosa (Molin, 1860)",Nematodes,NA
40868,Elachistocleis ovalis,Raillietnema gubernaculatum,"Raillietnema gubernaculatum Freitas & Ibanez, 1965",Nematodes,Amphibia
40869,Phyllomedusa hypochondrialis,Raillietnema minor,"Raillietnema minor Freitas & Dobbin, 1961",Nematodes,NA
40870,Hypsiboas faber,Raillietnema simples,"Raillietnema simples (Travassos, 1925)",Nematodes,NA
40871,Rhinocricus duvernoyi,Ransomnema artigasi,"Ransomnema artigasi Coy Otero, Garcia & Alvarez, 1993",Nematodes,Diplopoda
40872,Rhinocricus duvernoyi,Ransomnema habanensis,"Ransomnema habanensis Coy Otero, Garcia & Alvarez, 1993",Nematodes,Diplopoda
40873,Pterodoras granulosus,Raphidascaroides brasiliensis,"Raphidascaroides brasiliensis Moravec & Thatcher, 1997",Nematodes,Teleostei
40874,Hoplobatrachus tigerinus,Rhabdias androgyna,"Rhabdias androgyna Kloss, 1971",Nematodes,Amphibia
40875,Proceratophrys appendiculata,Rhabdias androgyna,"Rhabdias androgyna Kloss, 1971",Nematodes,Amphibia
40876,Anolis frenatus,Rhabdias anolis,"Rhabdias anolis Bursey, Goldberg & Telford, 2003",Nematodes,Reptilia
40877,Rhinella schneideri,Rhabdias ceylanicum,"Rhabdias ceylanicum (Looss, 1911)",Nematodes,NA
40878,Rhinella crucifer,Rhabdias hermafrodita,"Rhabdias hermafrodita Kloss, 1971",Nematodes,NA
40879,Agkistrodon bilineatus,Rhabdias vellardi,"Rhabdias vellardi Pereira, 1928",Nematodes,Reptilia
40880,Astyanax bimaculatus,Rhabdochona australis,"Rhabdochona australis Kloss, 1966",Nematodes,Teleostei
40881,Colossoma macropomum,Rhabdochona colossomi,"Rhabdochona colossomi Diaz-Ungria, 1968",Nematodes,Teleostei
40882,Gambusia punctata,Rhabdochona cubensis,"Rhabdochona cubensis Moravec & Coy Otero, 1987",Nematodes,Teleostei
40883,Astyanax fasciatus,Rhabdochona fasciata,"Rhabdochona fasciata Kloss, 1966",Nematodes,Teleostei
40884,Tetragonopterus argenteus,Rhabdochona obtusus,"Rhabdochona obtusus Dujardin, 1845",Nematodes,Teleostei
40885,Oxymycterus rufus,Rictularioides amphiacanthum,"Rictularioides amphiacanthum (Diesing, 1851)",Nematodes,Mammalia
40886,Eurydesmus ruidus,Robertia leiperi,"Robertia leiperi Travassos & Kloss, 1960",Nematodes,NA
40887,Rhinocricus duvernoyi,Robertia longicauda,"Robertia longicauda Garcia, Coy & Alvarez, 1995",Nematodes,Diplopoda
40888,Colossoma bidens,Rondonia rondoni,"Rondonia rondoni Travassos, 1919",Nematodes,NA
40889,Colossoma brachypomum,Rondonia rondoni,"Rondonia rondoni Travassos, 1919",Nematodes,NA
40890,Colossoma mitrei,Rondonia rondoni,"Rondonia rondoni Travassos, 1919",Nematodes,NA
40891,Doras brunnescens,Rondonia rondoni,"Rondonia rondoni Travassos, 1919",Nematodes,NA
40892,Luciopimelodus pati,Rondonia rondoni,"Rondonia rondoni Travassos, 1919",Nematodes,Teleostei
40893,Mylesinus paraschomburgkii,Rondonia rondoni,"Rondonia rondoni Travassos, 1919",Nematodes,Teleostei
40894,Myletes edulis,Rondonia rondoni,"Rondonia rondoni Travassos, 1919",Nematodes,NA
40895,Myletes torquatus,Rondonia rondoni,"Rondonia rondoni Travassos, 1919",Nematodes,NA
40896,Mylopsus asterias,Rondonia rondoni,"Rondonia rondoni Travassos, 1919",Nematodes,NA
40897,Oxydoras knerii,Rondonia rondoni,"Rondonia rondoni Travassos, 1919",Nematodes,NA
40898,Piaractus brachypomus,Rondonia rondoni,"Rondonia rondoni Travassos, 1919",Nematodes,Teleostei
40899,Piaractus mesopotamicus,Rondonia rondoni,"Rondonia rondoni Travassos, 1919",Nematodes,Teleostei
40900,Pimelodus clarias,Rondonia rondoni,"Rondonia rondoni Travassos, 1919",Nematodes,NA
40901,Pseudopimelodus zungaro,Rondonia rondoni,"Rondonia rondoni Travassos, 1919",Nematodes,NA
40902,Pterodoras granulosus,Rondonia rondoni,"Rondonia rondoni Travassos, 1919",Nematodes,Teleostei
40903,Trachydoras paraguayensis,Rondonia rondoni,"Rondonia rondoni Travassos, 1919",Nematodes,Teleostei
40904,Arapaima gigas,Rumai rumai,"Rumai rumai Travassos, 1960",Nematodes,Teleostei
40905,Venturius cephalotes,Salesia alata,"Salesia alata Travassos & Kloss, 1958",Nematodes,NA
40906,Anurolimnas viridis,Schistorophus molini,"Schistorophus molini Magalhaes Pinto,Vicente, Muniz-Pereira & Noronha, 1999",Nematodes,NA
40907,Cabassous unicintus,Schneidernema retusa,"Schneidernema retusa (Rudolphi, 1819)",Nematodes,NA
40908,Dasypus novemcinctus,Schneidernema retusa,"Schneidernema retusa (Rudolphi, 1819)",Nematodes,Mammalia
40909,Rhinella schneideri,Schrankiana brasili,"Schrankiana brasili (Travassos, 1927)",Nematodes,NA
40910,Leptodactylus labyrinthicus,Schrankiana brasili,"Schrankiana brasili (Travassos, 1927)",Nematodes,Amphibia
40911,Leptodactylus pentadactylus,Schrankiana brasili,"Schrankiana brasili (Travassos, 1927)",Nematodes,Amphibia
40912,Leptodactylus elenae,Schrankiana formosula,"Schrankiana formosula Freitas, 1959",Nematodes,Amphibia
40913,Leptodactylus fuscus,Schrankiana formosula,"Schrankiana formosula Freitas, 1959",Nematodes,Amphibia
40914,Leptodactylus thyponius,Schrankiana formosula,"Schrankiana formosula Freitas, 1959",Nematodes,NA
40915,Leptodactylus pentadactylus,Schrankiana freitasi,"Schrankiana freitasi Baker, 1982",Nematodes,Amphibia
